start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
442514.91,9.83,442524.74,442524.74,18.47,442543.21,442543.21,0.01,442543.22,28.31,28.21,35.45
442543.22,9.84,442553.06,442553.06,18.33,442571.39,442571.39,0.01,442571.39,28.18,28.31,35.32
442571.40,9.80,442581.19,442581.19,18.36,442599.55,442599.55,0.02,442599.57,28.18,28.18,35.49
442599.57,9.79,442609.36,442609.36,18.36,442627.72,442627.72,0.01,442627.72,28.15,28.18,35.49
442627.73,9.80,442637.52,442637.53,18.31,442655.83,442655.83,0.01,442655.84,28.11,28.15,35.52
442655.84,9.85,442665.69,442665.69,18.36,442684.05,442684.05,0.01,442684.06,28.21,28.12,35.57
442684.06,9.81,442693.87,442693.87,18.37,442712.24,442712.24,0.01,442712.25,28.19,28.22,35.44
442712.25,9.85,442722.10,442722.10,18.37,442740.47,442740.47,0.01,442740.48,28.23,28.19,35.47
442740.48,9.77,442750.25,442750.25,18.36,442768.61,442768.61,0.01,442768.62,28.14,28.23,35.42
442768.62,9.85,442778.47,442778.47,18.37,442796.84,442796.84,0.01,442796.85,28.23,28.14,35.53
442796.85,9.81,442806.67,442806.67,18.34,442825.01,442825.01,0.01,442825.02,28.16,28.23,35.42
442825.02,9.79,442834.81,442834.81,18.43,442853.24,442853.24,0.01,442853.25,28.23,28.16,35.51
442853.25,9.78,442863.03,442863.03,18.46,442881.49,442881.49,0.01,442881.49,28.24,28.23,35.42
442881.50,9.78,442891.27,442891.27,18.33,442909.60,442909.60,0.01,442909.61,28.11,28.25,35.40
442909.61,9.83,442919.44,442919.44,18.33,442937.77,442937.77,0.01,442937.78,28.17,28.11,35.57
442937.78,9.78,442947.56,442947.56,18.33,442965.89,442965.89,0.01,442965.89,28.11,28.17,35.49
442965.90,9.79,442975.69,442975.69,18.32,442994.01,442994.01,0.01,442994.02,28.12,28.11,35.57
